train,stations
train_1,"[Maastricht, Sittard, Heerlen]"
train_2,"[Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Hilversum]"
train_3,"[Gouda, Den Haag Centraal, Delft, Den Haag HS, Leiden Centraal, Alphen a/d Rijn]"
train_4,"[Sittard, Maastricht]"
train_5,"[Den Haag Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Den Haag HS, Delft, Den Haag Laan v NOI]"
train_6,"[Almelo, Hengelo, Enschede]"
train_7,"[Sittard, Heerlen]"
train_8,"[Hilversum, Almere Centrum, Lelystad Centrum]"
train_9,"[Maastricht, Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_10,"[Almere Centrum, Lelystad Centrum]"
train_11,"[Hilversum, Almere Centrum, Lelystad Centrum]"
train_12,"[Almere Centrum, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Amstel, Hilversum]"
train_13,"[Roermond, Sittard, Maastricht]"
train_14,"[Tilburg, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_15,"[Schiedam Centrum, Rotterdam Blaak, Rotterdam Alexander, Gouda, Den Haag HS, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout]"
train_16,"[Heerenveen, Steenwijk, Zwolle, Almelo, Deventer, Apeldoorn, Amersfoort]"
train_17,"[Dordrecht, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_18,"[Den Helder, Alkmaar, Hoorn, Zaandam, Amsterdam Sloterdijk, Haarlem, Beverwijk, Castricum]"
train_19,"[Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal, Delft, Den Haag Laan v NOI, Gouda, Alphen a/d Rijn]"
train_20,"[Dieren, Zutphen, Apeldoorn, Deventer, Zwolle, Assen, Groningen, Leeuwarden, Heerenveen]"
score,6379.333333333332
