train,stations
train_1,"[Amsterdam Zuid, Schiphol Airport]"
train_2,"[Helmond, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_3,"[Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Tilburg, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk]"
train_4,"[Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_5,"[Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
train_6,"[Enschede, Hengelo, Almelo, Deventer, Apeldoorn]"
train_7,"[Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Amersfoort]"
train_8,"[Hilversum, Utrecht Centraal, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS]"
train_9,"[Beverwijk, Castricum, Zaandam, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal]"
train_10,"[Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_11,"[Tilburg, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_12,"[Lelystad Centrum, Almere Centrum, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_13,"[Delft, Den Haag HS]"
train_14,"[Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
train_15,"[Hoorn, Alkmaar, Castricum, Beverwijk]"
train_16,"[Leiden Centraal, Alphen a/d Rijn]"
train_17,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal]"
train_18,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_19,"[Weert, Roermond, Sittard, Maastricht]"
train_20,"[Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Alphen a/d Rijn]"
score,6742.0
