train,stations
train_1,"[Assen, Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Deventer, Almelo, Hengelo, Enschede]"
train_2,"[Arnhem Centraal, Ede-Wageningen]"
train_3,"[Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn]"
train_4,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_5,"[Leiden Centraal, Den Haag Centraal]"
train_6,"[Heerlen, Sittard, Maastricht]"
train_7,"[Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_8,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Laan v NOI]"
train_9,"[Den Helder, Alkmaar, Castricum, Zaandam, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Utrecht Centraal, Amersfoort]"
train_10,"[Vlissingen, Roosendaal, Etten-Leur, Breda, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda, Utrecht Centraal, Hilversum]"
train_11,"[Beverwijk, Castricum, Alkmaar, Hoorn]"
score,8044.0
