train,stations
train_1,"[Zaandam, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Utrecht Centraal, Hilversum]"
train_2,"[Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_3,"[Helmond, Venlo]"
train_4,"[Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_5,"[Etten-Leur, Roosendaal, Vlissingen]"
train_6,"[Deventer, Apeldoorn]"
train_7,"[Dieren, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_8,"[Rotterdam Blaak, Dordrecht, Breda, Tilburg, s-Hertogenbosch, Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_9,"[Almelo, Hengelo, Enschede]"
train_10,"[Leiden Centraal, Den Haag Laan v NOI]"
train_11,"[Amsterdam Amstel, Amsterdam Zuid, Schiphol Airport]"
train_12,"[Amsterdam Zuid, Schiphol Airport]"
train_13,"[Sittard, Maastricht]"
train_14,"[Amsterdam Zuid, Schiphol Airport]"
train_15,"[Amsterdam Zuid, Schiphol Airport]"
train_16,"[Den Haag Centraal, Leiden Centraal, Alphen a/d Rijn]"
train_17,"[Utrecht Centraal, Amersfoort]"
train_18,"[Amsterdam Zuid, Schiphol Airport]"
train_19,"[Alkmaar, Hoorn]"
train_20,"[Den Helder, Alkmaar, Castricum, Beverwijk]"
score,7203.0
