train,stations
train_1,"[Leeuwarden, Groningen, Assen]"
train_2,"[Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_3,"[Maastricht, Sittard, Heerlen]"
train_4,"[Steenwijk, Zwolle, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
train_5,"[Apeldoorn, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_6,"[Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train_7,"[Weert, Roermond, Sittard, Heerlen]"
train_8,"[Ede-Wageningen, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Weert, Roermond, Sittard, Heerlen]"
train_9,"[Maastricht, Sittard, Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_10,"[Eindhoven, Helmond, Venlo]"
train_11,"[Maastricht, Sittard, Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_12,"[Steenwijk, Zwolle, Deventer, Almelo, Hengelo, Enschede]"
train_13,"[Leiden Centraal, Alphen a/d Rijn]"
train_14,"[Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Zwolle]"
train_15,"[Apeldoorn, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_16,"[Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen]"
train_17,"[Heerlen, Sittard, Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_18,"[Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train_19,"[Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_20,"[Oss, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
score,1421.9672131147545
