train,stations
train_1,"[Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_1,"[Beverwijk, Castricum, Alkmaar, Hoorn]"
train_1,"[Delft, Den Haag HS]"
train_1,"[Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Den Helder]"
train_1,"[Venlo, Helmond, Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_1,"[Leeuwarden, Groningen, Assen]"
train_1,"[Etten-Leur, Roosendaal, Vlissingen]"
train_1,"[Heerlen, Sittard, Roermond, Weert, Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_1,"[Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal, Gouda, Alphen a/d Rijn, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Utrecht Centraal]"
train_1,"[Dordrecht, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen]"
train_1,"[Apeldoorn, Deventer, Almelo, Hengelo, Enschede]"
train_1,"[Hilversum, Utrecht Centraal, Amersfoort]"
score,7831.0
