train,stations
train_1,"[Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_2,"[Dordrecht, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen]"
train_3,"[Hengelo, Enschede]"
train_4,"[Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS]"
train_5,"[Maastricht, Sittard, Roermond, Weert, Eindhoven, Helmond, Venlo]"
train_6,"[Amersfoort, Utrecht Centraal, Hilversum]"
train_7,"[Beverwijk, Castricum, Alkmaar, Hoorn]"
train_8,"[Almelo, Hengelo, Enschede]"
train_9,"[Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Delft, Den Haag HS]"
train_10,"[Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Amsterdam Centraal, Almere Centrum, Lelystad Centrum]"
train_11,"[Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal]"
train_12,"[Etten-Leur, Roosendaal, Vlissingen]"
train_13,"[Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_14,"[Alkmaar, Den Helder]"
train_15,"[Schiedam Centrum, Delft, Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Haarlem, Amsterdam Sloterdijk, Zaandam, Castricum, Alkmaar, Hoorn]"
train_16,"[Sittard, Heerlen]"
train_17,"[Apeldoorn, Deventer, Zutphen, Dieren, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_18,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal, Amsterdam Sloterdijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Den Haag Centraal]"
train_19,"[Alkmaar, Hoorn]"
train_20,"[Den Haag Laan v NOI, Delft, Den Haag HS]"
score,6677.065573770491
