train,stations
train_1,"[Deventer, Almelo, Zwolle, Assen, Groningen, Leeuwarden, Heerenveen]"
train_2,"[Apeldoorn, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_3,"[Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amersfoort, Apeldoorn, Zutphen]"
train_4,"[Amersfoort, Zwolle, Almelo, Deventer, Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
train_5,"[Dordrecht, Roosendaal, Vlissingen]"
train_6,"[Groningen, Leeuwarden, Heerenveen, Steenwijk, Zwolle, Amersfoort, Apeldoorn, Zutphen, Deventer]"
train_7,"[Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_8,"[Rotterdam Alexander, Rotterdam Centraal, Dordrecht, Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_9,"[Schiedam Centrum, Rotterdam Blaak, Dordrecht, Breda, Tilburg, Eindhoven, s-Hertogenbosch, Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Apeldoorn]"
train_10,"[Breda, Etten-Leur, Roosendaal, Vlissingen]"
train_11,"[Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Zwolle, Assen, Groningen]"
train_12,"[Breda, Tilburg, Eindhoven, Helmond, Venlo]"
train_13,"[Schiedam Centrum, Rotterdam Centraal, Dordrecht, Roosendaal, Vlissingen]"
train_14,"[Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Utrecht Centraal, Amersfoort, Zwolle, Deventer, Zutphen, Apeldoorn]"
train_15,"[Oss, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Apeldoorn, Deventer, Zwolle, Steenwijk, Heerenveen, Leeuwarden]"
train_16,"[Enschede, Hengelo, Almelo, Zwolle, Amersfoort, Apeldoorn, Deventer, Zutphen, Dieren, Arnhem Centraal, Ede-Wageningen]"
train_17,"[Assen, Zwolle, Deventer, Zutphen, Dieren, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Utrecht Centraal]"
train_18,"[Schiedam Centrum, Rotterdam Centraal, Dordrecht, Roosendaal, Etten-Leur, Breda, Tilburg, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
train_19,"[Hengelo, Enschede]"
train_20,"[Vlissingen, Roosendaal, Dordrecht, Breda, Tilburg, s-Hertogenbosch, Utrecht Centraal, Amsterdam Amstel]"
score,1364.5737704918038
