train,stations
train_1,"[Eindhoven, Weert, Roermond, Sittard, Maastricht]"
train_2,"[Sittard, Heerlen]"
train_3,"[Hoorn, Alkmaar, Den Helder]"
train_4,"[Hengelo, Enschede]"
train_5,"[Hengelo, Enschede]"
train_6,"[Hengelo, Enschede]"
train_7,"[Roosendaal, Vlissingen]"
train_8,"[Hengelo, Enschede]"
train_9,"[Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Almelo, Hengelo, Enschede]"
train_10,"[Hengelo, Enschede]"
train_11,"[Hengelo, Enschede]"
train_12,"[Amersfoort, Zwolle, Steenwijk, Heerenveen, Leeuwarden, Groningen, Assen]"
train_13,"[Helmond, Venlo]"
train_14,"[Dordrecht, Rotterdam Blaak, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Gouda, Utrecht Centraal, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam, Castricum, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Alphen a/d Rijn]"
train_15,"[Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Hilversum, Almere Centrum, Lelystad Centrum]"
train_16,"[Hengelo, Enschede]"
train_17,"[Hengelo, Enschede]"
train_18,"[Gouda, Den Haag Centraal, Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag HS]"
train_19,"[Apeldoorn, Zutphen, Dieren, Arnhem Centraal, Nijmegen, Oss, s-Hertogenbosch, Tilburg, Breda, Etten-Leur, Roosendaal]"
train_20,"[Hengelo, Enschede]"
score,7037.0
